model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,72,sigmoid,1e-05,logcosh at,144,144,115.3,22.022,19.772,0.04996
LSTM,1,36,sigmoid,1e-05,mean_absolute_error at,144,72,169.5,21.411,19.744,0.05021
LSTM,1,36,tanh,1e-05,logcosh at,144,288,74.8,37.102,40.137,0.04334
LSTM,1,72,relu,0.01,mean_absolute_error at,144,288,104.7,4.806,1.577,0.02604
LSTM,2,288,sigmoid,0.0001,mean_squared_error at,288,144,1025.4,3.923,1.520,0.02283
LSTM,1,48,tanh,0.0001,mean_absolute_error at,400,36,679.4,2.553,1.114,0.01806
LSTM,1,36,tanh,0.001,logcosh at,216,36,414.7,1.727,1.210,0.02353
LSTM,1,56,tanh,0.0001,mean_absolute_error at,100,36,188.0,3.425,1.125,0.01821
LSTM,1,72,tanh,1e-05,logcosh at,144,144,115.3,21.084,20.572,0.05224
LSTM,2,72,tanh,0.01,mean_absolute_error at,216,72,332.0,1.727,1.192,0.01869
LSTM,1,72,sigmoid,0.001,mean_squared_error at,288,288,117.4,3.842,1.411,0.02739
LSTM,1,72,tanh,0.0001,mean_absolute_error at,300,36,528.5,4.493,1.151,0.01799
LSTM,2,36,tanh,0.001,mean_squared_error at,288,72,419.1,1.987,1.458,0.03392
LSTM,1,144,sigmoid,1e-05,logcosh at,288,36,763.3,3.472,3.496,0.04463
LSTM,1,36,tanh,0.001,logcosh at,144,72,146.4,1.853,1.272,0.02137
LSTM,2,72,tanh,1e-05,mean_squared_error at,216,36,628.6,5.332,1.815,0.03006
LSTM,1,16,tanh,0.0001,mean_absolute_error at,600,36,831.0,3.237,1.099,0.01830
LSTM,1,36,tanh,0.0001,logcosh at,288,36,493.0,3.918,1.267,0.02197
LSTM,1,4,tanh,0.0001,mean_absolute_error at,200,36,359.7,3.437,1.369,0.02097
LSTM,2,144,sigmoid,0.01,mean_squared_error at,216,72,568.4,2.675,1.142,0.02032
LSTM,2,36,relu,0.01,mean_absolute_error at,144,288,152.4,3.935,1.124,0.02281
LSTM,2,72,sigmoid,0.0001,logcosh at,144,288,177.4,7.712,7.095,0.05140
LSTM,1,144,sigmoid,0.01,logcosh at,216,36,583.1,3.668,3.423,0.05635
LSTM,1,72,sigmoid,0.001,logcosh at,144,72,189.6,2.302,1.523,0.02526
LSTM,1,288,relu,1e-05,logcosh at,216,72,615.8,3.668,1.523,0.02338
LSTM,2,288,sigmoid,1e-05,mean_absolute_error at,144,72,915.2,13.594,13.065,0.05060
LSTM,1,72,tanh,0.0001,mean_absolute_error at,800,36,1397.8,4.518,1.113,0.01803
LSTM,1,288,relu,0.0001,mean_absolute_error at,144,288,174.2,3.670,1.227,0.01931
