model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,48,tanh,0.0001,mean_absolute_error at,600,36,1620.6,3.696,0.881,0.01752
LSTM,1,16,tanh,0.0001,mean_absolute_error at,100,36,336.3,3.453,0.917,0.01841
LSTM,1,288,sigmoid,0.001,mean_squared_error at,288,36,1785.2,3.591,0.930,0.02164
LSTM,2,288,tanh,0.01,logcosh at,144,36,2276.7,3.128,1.103,0.02740
LSTM,1,144,sigmoid,0.0001,logcosh at,288,288,268.7,7.255,6.530,0.04640
LSTM,1,8,tanh,0.0001,mean_absolute_error at,200,36,533.4,3.118,0.911,0.01776
LSTM,2,72,sigmoid,0.001,mean_squared_error at,144,72,406.7,2.384,1.415,0.04245
LSTM,1,72,sigmoid,0.0001,mean_absolute_error at,216,36,531.2,4.007,0.880,0.01741
LSTM,1,4,tanh,0.0001,mean_absolute_error at,400,36,867.1,1.548,0.956,0.01875
LSTM,1,144,relu,0.01,mean_absolute_error at,144,36,610.1,1.684,0.977,0.02393
LSTM,1,4,tanh,0.0001,mean_absolute_error at,100,36,263.5,1.649,1.180,0.02051
LSTM,2,72,tanh,0.001,mean_squared_error at,216,36,1015.4,3.229,1.323,0.02889
LSTM,2,36,relu,0.0001,logcosh at,288,288,340.5,5.405,1.424,0.02228
LSTM,2,36,relu,0.0001,mean_squared_error at,288,72,786.2,1.896,1.076,0.02042
LSTM,1,288,sigmoid,0.01,logcosh at,288,36,1641.7,5.442,4.860,0.06919
LSTM,1,16,tanh,0.0001,mean_absolute_error at,800,36,1929.4,2.444,0.884,0.01671
LSTM,2,36,tanh,0.01,mean_squared_error at,288,72,645.2,1.825,1.114,0.02127
LSTM,2,72,sigmoid,0.001,mean_absolute_error at,216,288,288.3,3.399,0.879,0.01904
LSTM,1,288,tanh,1e-05,logcosh at,216,36,1256.9,4.084,0.938,0.01963
LSTM,2,144,relu,0.001,mean_squared_error at,216,144,581.2,1.526,0.872,0.01785
LSTM,1,16,tanh,0.0001,mean_absolute_error at,500,36,1195.2,2.518,0.885,0.01712
LSTM,1,72,tanh,1e-05,mean_absolute_error at,144,72,238.9,7.170,5.549,0.04904
LSTM,1,36,relu,0.0001,mean_squared_error at,144,144,197.6,2.701,1.463,0.02161
LSTM,1,36,relu,0.0001,mean_squared_error at,144,144,212.1,2.155,1.604,0.02307
LSTM,1,32,tanh,0.0001,mean_absolute_error at,200,36,518.2,2.500,0.936,0.01691
LSTM,1,36,relu,0.001,mean_squared_error at,144,144,164.9,3.938,1.044,0.01886
LSTM,1,36,relu,0.001,mean_squared_error at,144,144,197.5,1.777,1.024,0.01928
LSTM,1,36,relu,0.001,mean_squared_error at,288,144,332.7,1.521,0.905,0.02092
LSTM,1,36,relu,0.001,mean_squared_error at,288,144,372.1,3.593,0.937,0.01824
LSTM,1,36,relu,0.001,mean_squared_error at,144,144,220.0,2.538,1.010,0.01822
