model,neurons,activation,optimizer_lr,loss,epochs,batch_size,RMSE,Sequential_RMSE,model_run_time
LSTM,36,tanh,0.0001,logcosh at,144,72,7.237,2.205,69.2
LSTM,144,tanh,0.001,mean_squared_error at,288,36,6.064,1.500,222.0
LSTM,36,tanh,0.001,logcosh at,576,144,5.587,1.496,124.8
LSTM,144,tanh,0.01,logcosh at,144,72,11.303,1.077,70.2
LSTM,144,relu,0.001,mean_squared_error at,288,36,7.578,1.499,224.0
LSTM,72,sigmoid,0.001,logcosh at,576,144,10.328,7.338,125.9
LSTM,36,tanh,0.0001,mean_squared_error at,144,72,7.964,1.630,71.7
LSTM,144,tanh,0.001,logcosh at,288,36,13.515,5.575,227.8
LSTM,144,tanh,0.001,logcosh at,576,144,6.717,1.592,129.1
LSTM,36,tanh,0.01,mean_squared_error at,288,72,9.665,4.745,123.3
LSTM,144,relu,0.001,mean_absolute_error at,144,36,6.311,1.291,122.9
LSTM,36,sigmoid,0.001,logcosh at,576,144,8.369,2.738,128.2
LSTM,72,tanh,0.0001,mean_squared_error at,288,72,6.917,1.545,123.6
LSTM,144,tanh,0.001,logcosh at,144,36,6.866,3.051,124.3
LSTM,36,tanh,0.001,logcosh at,576,72,7.307,1.561,231.3
LSTM,144,tanh,0.01,mean_absolute_error at,288,144,12.031,9.980,74.7
LSTM,144,relu,0.001,mean_squared_error at,144,36,14.530,2.250,125.4
LSTM,36,tanh,0.001,logcosh at,576,72,6.021,1.120,232.6
LSTM,72,sigmoid,0.001,mean_squared_error at,288,144,7.152,1.964,73.9
LSTM,144,tanh,0.0001,logcosh at,144,36,10.489,2.278,126.6
LSTM,36,tanh,0.001,mean_absolute_error at,576,72,8.634,0.619,233.3
LSTM,144,tanh,0.01,logcosh at,288,144,13.718,3.348,76.8
LSTM,144,relu,0.001,mean_squared_error at,144,36,14.390,1.646,127.2
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.133,2.359,233.6
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,5.756,1.148,233.8
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.313,1.217,234.8
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.881,1.206,235.3
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.998,0.938,236.4
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.574,3.211,236.3
LSTM,72,tanh,0.0001,mean_squared_error at,144,288,10.290,2.040,13.5
LSTM,72,sigmoid,0.0001,mean_squared_error at,36,288,184.918,36.856,5.0
LSTM,72,relu,0.001,mean_absolute_error at,36,288,8.923,1.279,5.1
LSTM,72,tanh,0.0001,mean_squared_error at,36,288,88.959,17.703,5.1
LSTM,72,relu,0.001,mean_squared_error at,36,288,7.199,1.985,5.1
LSTM,144,tanh,0.01,logcosh at,72,288,13.233,3.361,8.3
LSTM,144,sigmoid,0.0001,logcosh at,72,288,121.351,29.845,8.4
LSTM,144,tanh,0.001,mean_absolute_error at,72,288,7.272,1.042,8.2
LSTM,36,tanh,0.01,logcosh at,144,288,5.483,2.575,14.3
LSTM,144,relu,0.01,mean_squared_error at,144,288,5.454,1.449,14.0
LSTM,72,sigmoid,0.001,logcosh at,36,288,11.169,7.094,6.0
LSTM,144,tanh,0.01,mean_squared_error at,72,288,15.796,14.162,8.8
LSTM,36,relu,0.0001,mean_absolute_error at,144,288,10.581,1.859,14.6
LSTM,72,sigmoid,0.01,mean_squared_error at,144,288,42.371,42.592,14.5
LSTM,144,sigmoid,0.0001,logcosh at,144,288,33.668,6.949,14.8
LSTM,144,relu,0.0001,logcosh at,36,288,71.589,10.812,6.7
LSTM,144,tanh,0.01,mean_squared_error at,72,288,6.550,2.334,9.3
LSTM,72,tanh,0.01,mean_absolute_error at,36,288,7.186,2.009,6.6
LSTM,144,relu,0.0001,mean_squared_error at,72,288,14.871,2.267,9.5
LSTM,72,sigmoid,0.0001,mean_absolute_error at,72,288,81.957,7.940,9.9
LSTM,36,relu,0.0001,mean_squared_error at,144,288,13.060,5.781,15.5
LSTM,36,relu,0.0001,mean_squared_error at,144,288,35.751,6.499,15.6
LSTM,144,tanh,0.0001,mean_squared_error at,72,288,8.111,2.210,10.0
LSTM,72,relu,0.0001,mean_squared_error at,72,288,30.945,6.913,10.2
LSTM,72,tanh,0.0001,mean_squared_error at,144,288,7.751,1.891,15.9
LSTM,144,tanh,0.0001,mean_squared_error at,144,288,7.340,1.330,16.3
LSTM,144,relu,0.001,mean_squared_error at,72,288,7.416,1.383,10.6
LSTM,72,relu,0.0001,mean_squared_error at,144,288,7.823,1.807,16.5
LSTM,72,tanh,0.0001,mean_squared_error at,144,288,10.076,1.844,17.1
LSTM,72,relu,0.0001,mean_absolute_error at,72,288,13.237,1.474,11.1
LSTM,36,relu,0.0001,mean_absolute_error at,288,288,8.890,1.414,24.4
LSTM,144,sigmoid,0.001,mean_squared_error at,288,288,8.475,3.437,23.7
LSTM,36,relu,0.001,logcosh at,576,288,8.301,2.360,46.5
LSTM,144,relu,0.0001,mean_squared_error at,288,288,7.345,1.152,24.0
LSTM,144,relu,0.001,mean_absolute_error at,576,288,9.913,1.676,45.8
LSTM,36,sigmoid,0.01,mean_squared_error at,288,288,7.282,3.290,24.5
LSTM,144,relu,0.01,mean_absolute_error at,288,288,7.055,5.753,24.4
LSTM,36,tanh,0.0001,logcosh at,576,288,6.558,1.098,47.0
LSTM,9,relu,0.01,mean_squared_error at,18,18,17.416,8.529,22.9
LSTM,18,relu,0.01,mean_absolute_error at,36,18,14.314,5.143,42.7
LSTM,18,tanh,0.01,mean_absolute_error at,18,9,14.190,11.265,42.7
LSTM,9,tanh,0.0001,mean_squared_error at,144,18,6.868,1.422,166.9
LSTM,9,tanh,0.001,mean_absolute_error at,144,9,6.981,1.403,328.2
LSTM,18,tanh,0.01,logcosh at,144,18,8.825,2.441,168.8
LSTM,18,relu,0.01,logcosh at,36,18,17.608,3.223,44.2
LSTM,18,sigmoid,0.0001,logcosh at,144,18,7.871,1.159,169.8
LSTM,9,tanh,0.01,logcosh at,144,18,12.465,8.113,170.3
LSTM,9,sigmoid,0.0001,mean_absolute_error at,72,72,136.538,26.637,23.5
LSTM,18,tanh,0.01,mean_absolute_error at,144,72,8.975,3.379,44.0
LSTM,9,sigmoid,0.0001,mean_squared_error at,72,72,162.739,40.181,23.2
LSTM,9,sigmoid,0.001,mean_squared_error at,72,9,10.280,6.858,167.7
LSTM,9,relu,0.01,logcosh at,144,9,26.235,22.607,334.1
LSTM,18,tanh,0.0001,mean_absolute_error at,72,18,9.511,1.232,84.4
LSTM,18,relu,0.01,mean_squared_error at,144,9,15.553,13.632,330.0
LSTM,18,tanh,0.001,mean_squared_error at,72,9,10.106,2.665,167.1
